Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
M,485,Cundle,4.5,4.5,Wolves,18,0.81,19,0.91,19,0.81,20,0.93,20,0.93
M,486,Neto,5.5,5.5,Wolves,70,3.42,68,4.02,67,2.75,66,3.50,65,3.43
D,487,Aït-Nouri,4.5,4.5,Wolves,45,1.66,32,1.67,32,0.89,29,1.30,31,1.35
F,488,Fabio Silva,5.5,5.5,Wolves,13,0.81,14,0.98,19,0.96,17,1.07,20,1.22
D,489,Toti,4.0,4.0,Wolves,24,0.81,18,0.77,15,0.38,18,0.66,18,0.66
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,491,Adama,5.5,5.5,Wolves,19,0.91,18,0.99,18,0.81,20,0.99,21,1.00
G,492,Šarkić,4.0,4.0,Wolves,1,0.04,2,0.07,2,0.08,2,0.10,3,0.11
M,493,Gibbs-White,5.5,5.5,Wolves,3,0.17,4,0.26,6,0.30,6,0.33,7,0.37
D,494,Mosquera,4.0,4.0,Wolves,1,0.03,1,0.04,0,0.02,1,0.04,1,0.05
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
F,496,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.01,0,0.01,0,0.02
G,497,Adrián,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
D,499,Davies,4.0,4.0,Liverpool,0,0.00,0,0.01,0,0.01,0,0.01,0,0.02
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.02,1,0.03
D,501,Phillips,4.0,4.0,Liverpool,0,0.00,1,0.03,2,0.08,2,0.08,3,0.12
G,502,Carson,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,503,Moutinho,5.0,5.0,Wolves,80,2.71,77,3.08,74,2.26,72,2.65,71,2.58
D,504,Malacia,4.5,4.5,Man Utd,66,2.98,63,2.47,61,1.64,60,2.48,55,1.96
M,505,Rothwell,5.0,5.0,Bournemouth,21,0.97,24,0.87,26,1.07,25,0.90,27,1.20
M,506,Adams,5.0,5.0,Leeds,74,2.33,71,2.14,69,1.99,68,1.99,64,2.07
D,507,Niakhaté,4.5,4.5,Nott'm Forest,82,1.94,80,2.37,79,2.09,76,1.79,75,0.65
M,508,Sinisterra,6.5,6.5,Leeds,77,3.63,70,3.08,70,2.82,71,2.94,68,3.36
M,509,Downes,4.5,4.5,West Ham,4,0.19,6,0.31,8,0.42,10,0.45,10,0.47
D,510,Hickey,5.0,5.0,Brentford,49,1.46,41,1.43,36,1.42,35,1.54,38,1.25
D,511,Richards,4.5,4.5,Nott'm Forest,1,0.01,1,0.02,1,0.02,1,0.03,1,0.02
M,512,Aribo,5.5,5.5,Southampton,1,0.02,1,0.03,1,0.04,1,0.05,1,0.05
D,513,Lenglet,5.0,5.0,Spurs,72,3.41,70,1.93,69,3.14,66,2.94,70,2.49
M,514,C.Doucouré,5.0,5.0,Crystal Palace,1,0.04,1,0.04,1,0.06,1,0.06,2,0.07
M,515,Lewis-Potter,5.5,5.5,Brentford,3,0.14,3,0.14,3,0.15,3,0.15,3,0.15
D,516,Collins,4.5,4.5,Wolves,31,1.11,21,1.00,22,0.57,21,0.85,25,1.02
G,517,Strakosha,4.5,4.5,Brentford,0,0.01,0,0.01,1,0.03,1,0.02,1,0.04
G,518,Hennessey,4.0,4.0,Nott'm Forest,4,0.16,6,0.23,5,0.20,5,0.19,6,0.23
M,519,Eriksen,6.5,6.5,Man Utd,17,0.91,21,1.00,24,1.01,23,1.13,22,1.02
G,10001,Arijanet Muric,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10003,Daniel Arzani,99.9,99.9,Man City,0,0.02,0,0.03,1,0.04,0,0.03,1,0.08
M,10009,Yangel Herrera,99.9,99.9,Man City,0,0.03,1,0.06,1,0.04,1,0.07,1,0.08
F,10011,Nahuel Bustos,99.9,99.9,Man City,0,0.00,0,0.01,0,0.03,0,0.01,0,0.04
D,10013,Emerson,99.9,99.9,Chelsea,1,0.04,1,0.05,3,0.11,2,0.10,3,0.11
D,10018,Matt Miazga,99.9,99.9,Chelsea,2,0.10,3,0.13,5,0.23,4,0.19,6,0.27
D,10020,Abdul-Rahman Baba,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
D,10029,Leo Östigard,99.9,99.9,Brighton,1,0.03,1,0.05,2,0.07,2,0.10,3,0.12
D,10030,Michal Karbownik,99.9,99.9,Brighton,7,0.18,7,0.26,9,0.27,10,0.41,9,0.34
F,10033,Florin Andone,99.9,99.9,Brighton,0,0.00,0,0.02,0,0.03,1,0.05,1,0.04
D,10035,Matt Clarke,99.9,99.9,Brighton,1,0.03,1,0.07,1,0.06,2,0.10,3,0.12
D,10036,Jan Paul van Hecke,99.9,99.9,Brighton,1,0.02,2,0.09,2,0.09,3,0.13,3,0.13
F,10040,Andi Zeqiri,99.9,99.9,Brighton,0,0.00,0,0.05,0,0.02,1,0.05,1,0.12
D,10047,Leif Davis,99.9,99.9,Leeds,1,0.05,3,0.12,3,0.10,3,0.10,5,0.20
F,10052,Joel Valencia,99.9,99.9,Brentford,0,0.02,0,0.03,0,0.02,1,0.06,0,0.03
D,10054,Luka Racic,99.9,99.9,Brentford,2,0.08,2,0.08,2,0.10,2,0.07,3,0.10
D,10056,Fin Stevens,99.9,99.9,Brentford,1,0.02,0,0.01,0,0.01,1,0.03,1,0.03
F,10071,Amad Diallo,99.9,99.9,Man Utd,5,0.32,6,0.36,7,0.39,7,0.41,9,0.49
M,10088,Bruno Jordão,99.9,99.9,Wolves,1,0.06,2,0.11,3,0.11,4,0.16,4,0.18
M,10093,Connor Ronan,99.9,99.9,Wolves,2,0.09,2,0.11,3,0.12,4,0.18,4,0.18
F,10094,Patrick Cutrone,99.9,99.9,Wolves,0,0.01,1,0.05,1,0.08,1,0.07,1,0.07
M,10099,Conor Coventry,99.9,99.9,West Ham,6,0.23,7,0.31,9,0.40,10,0.44,12,0.53
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10124,Arthur Okonkwo,99.9,99.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10132,Tahith Chong,99.9,99.9,Man Utd,1,0.04,0,0.03,1,0.04,1,0.08,1,0.09
G,10133,Marcus Bettinelli,99.9,99.9,Chelsea,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00
M,10148,Tino Anjorin,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10200,Hannibal Mejbri,99.9,99.9,Man Utd,0,0.02,0,0.03,1,0.05,1,0.06,1,0.06
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10202,Shola Shoretire,99.9,99.9,Man Utd,0,0.03,1,0.09,1,0.05,1,0.09,2,0.13
M,10223,James Garner,99.9,99.9,Man Utd,1,0.06,2,0.09,2,0.08,3,0.14,5,0.20
F,10227,Filip Stevanovic,99.9,99.9,Man City,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01
F,10228,Marlos Moreno,99.9,99.9,Man City,0,0.01,1,0.05,1,0.04,1,0.05,1,0.10
M,10229,Ante Palaversa,99.9,99.9,Man City,0,0.02,0,0.01,1,0.05,1,0.07,1,0.06
F,10232,Léo Bonatini,99.9,99.9,Wolves,0,0.01,1,0.04,0,0.03,1,0.04,0,0.03
M,10233,Mateusz Bogusz,99.9,99.9,Leeds,1,0.04,0,0.02,1,0.04,1,0.03,1,0.05
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10242,Tanguy Ndombélé,99.9,99.9,Spurs,0,0.00,0,0.03,0,0.03,0,0.03,1,0.04
M,10243,Giovani Lo Celso,99.9,99.9,Spurs,1,0.11,0,0.04,1,0.07,2,0.13,2,0.13
F,10244,Bryan Gil,99.9,99.9,Spurs,19,1.19,9,0.50,9,0.61,11,0.73,11,0.62
G,10245,Rúnar Alex Rúnarsson,99.9,99.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00
D,10246,Héctor Bellerín,99.9,99.9,Arsenal,5,0.19,5,0.23,6,0.26,6,0.31,7,0.33
M,10247,Dennis Praet,99.9,99.9,Leicester,5,0.27,6,0.29,6,0.36,9,0.40,8,0.41
M,10249,Matty Longstaff,99.9,99.9,Newcastle,2,0.08,2,0.10,3,0.11,4,0.19,5,0.19
G,10250,Kjell Scherpen,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
F,10252,Evan Ferguson,99.9,99.9,Brighton,0,0.01,1,0.04,1,0.04,0,0.03,1,0.05
F,10253,Tariqe Fosu,99.9,99.9,Brentford,9,0.52,4,0.29,4,0.30,6,0.42,7,0.41
F,10254,Halil Dervisoglu,99.9,99.9,Brentford,2,0.13,3,0.18,4,0.22,5,0.28,4,0.20
D,10255,James Hill,99.9,99.9,Bournemouth,13,0.42,18,0.23,20,0.56,22,0.28,21,0.74
D,10256,Zeno Ibsen Rossi,99.9,99.9,Bournemouth,0,0.01,1,0.02,1,0.04,2,0.05,2,0.08
F,10258,Michy Batshuayi,99.9,99.9,Chelsea,2,0.17,3,0.22,4,0.24,4,0.29,5,0.32
F,10259,Alejandro Garnacho,99.9,99.9,Man Utd,1,0.04,1,0.04,1,0.04,1,0.04,1,0.07
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.02,0,0.02,0,0.01
D,10262,Álvaro Fernandez,99.9,99.9,Man Utd,0,0.01,1,0.02,1,0.03,1,0.04,1,0.03
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.01,0,0.01,0,0.00,0,0.01,0,0.00
D,10265,Ashley Young,99.9,99.9,Aston Villa,9,0.38,13,0.62,14,0.56,16,0.71,17,0.57
G,10266,Darren Randolph,99.9,99.9,West Ham,0,0.00,0,0.00,1,0.02,0,0.01,0,0.01
G,10268,Kiko Casilla,99.9,99.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10269,Hélder Costa,99.9,99.9,Leeds,4,0.32,2,0.13,3,0.23,3,0.19,2,0.17
D,10270,Cody Drameh,99.9,99.9,Leeds,11,0.42,14,0.47,14,0.40,14,0.42,14,0.54
F,10271,Ian Poveda,99.9,99.9,Leeds,1,0.09,0,0.03,0,0.03,0,0.04,1,0.10
M,10272,Cheikhou Kouyaté,99.9,99.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10273,Tyrese Francois,99.9,99.9,Fulham,3,0.12,4,0.19,5,0.23,6,0.24,6,0.27
G,10275,Jordan Smith,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
D,10276,Nikolas Ioannou,99.9,99.9,Nott'm Forest,0,0.00,0,0.01,0,0.01,1,0.02,1,0.02
F,10277,Nuno Da Costa,99.9,99.9,Nott'm Forest,0,0.01,1,0.04,1,0.05,1,0.06,1,0.05
D,10289,Ludwig Augustinsson,99.9,99.9,Aston Villa,0,0.00,1,0.02,1,0.02,1,0.03,1,0.02
D,10293,Kalidou Koulibaly,99.9,99.9,Chelsea,85,3.48,83,3.15,82,3.30,81,3.55,81,3.40
M,10294,Frenkie de Jong,99.9,99.9,Man Utd,42,1.64,39,1.46,42,1.40,38,1.44,39,1.39
D,10295,Lisandro Martínez,99.9,99.9,Man Utd,40,1.73,37,1.41,38,1.00,36,1.47,37,1.29
G,10296,Nathan Trott,99.9,99.9,West Ham,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00
